Rank,Gender,Department,Department_Other,H,State,Salary_Dependency_In_Month,Salary_Dependency_In_Month_Other,Research_Funded_By_External_Grants,Deadline_Today,Workload_Today,Workplace,Workplace_Other,RS,WH,TWR,TWT,TWA,TWO,TW_Sum,BR,BR_Other,Email,Proposal,NP,Funding_Agency,Funding_Agency_Other,P_SR,AP,P_AR,P_DWH,P_DWR,P_DWT,P_DWA,P_DWO,P_DW_SUm,PDR,PDT,PDA,PDO,PD_Sum,P_T,P_DS,P_Disrupted_Research,P_Disrupted_Sleep,P_Disrupted_Diet,P_Disrupted_PA,P_Disrupted_IR,About_Proposal_Deadline,Conference,NCP,CR,C_SR,ACP,AR,C_DWH,C_DWR,C_DWT,C_DWA,C_DWO,C_DW_Sum,DDR,CDT,CDA,CDS,CD_Sum,C_T,C_DS,C_Disrupted_Research,C_Disrupted_Sleep,C_Disrupted_Diet,C_Disrupted_PA,C_Disrupted_IR,About_Conf_Deadline,how_mentally_demanding_was,how_physically_demanding_w,how_hurried_or_rushed_was,how_successful_were_you_in,how_hard_did_you_have_to_w,how_insecure_discouraged_i,i_feel_pleast,i_feel_nervous_and_restles,i_feel_satisfied_with_myse,i_wish_i_could_be_as_happy,i_feel_like_a_failure,i_feel_rested,i_am_calm_cool_and_collect,i_feel_that_difficulties_a,i_worry_too_much_over_some,i_am_happy,i_have_disturbing_thoughts,i_lack_self_confidence,i_feel_secure,i_make_decisions_easily,i_feel_inadequate,i_am_content,some_unimportant_thought_r,i_take_disappointments_so,i_am_a_steady_person,i_get_in_a_state_of_tensio,is_talkative,is_reserved,is_curious_about_many_diff,is_full_of_energy,starts_quarrels_with_other,is_a_reliable_worker,can_be_tense,does_a_through_job,gets_nervous_easily,is_ingenious_a_deep_thinke,take_some_time_off_and_get,focus_on_the_problem_and_s,blame_myself_for_having_go,treat_myself_to_a_favorite,feel_anxious_about_not_bei,think_about_how_i_solved_s,visit_a_friend,determine_a_course_of_acti,ciss9,blame_myself_for_being_too,work_to_understand_the_sit,become_very_upset,take_corrective_action_imm,blame_myself_for_not_knowi,spend_time_with_a_special,think_about_the_event_and,wish_that_i_could_change_w,go_out_fora_snack_or_meal,analyze_my_problem_before,focus_on_my_general_inadeq,phone_a_friend
Professor,Male,Computer Science,,41,Texas,Three months,,25-1%,,,Office,,Hands-on,> 50,30,30,20,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,50-75%,1-2 months,6-12 months,Significantly more,70,30,0,0,100,100,,,,100,Minutes before deadline,Same,5,NA,NA,NA,NA,,Yes,2,B,75-90%,2-4 weeks,> 12 months,Significantly more,50,30,10,10,100,90,NA,NA,10,100,1-3 hours before deadline,Same,4,NA,NA,NA,NA,,6,1,4,4,5,4,2,2,2,1,1,2,3,1,2,2,1,2,3,2,1,3,2,1,3,1,5,5,1,4,1,1,3,5,1,3,4,5,3,4,2,4,3,4,1,1,3,2,3,2,2,4,4,1,3,3,1
Associate Professor,Male,Biology,,25,Texas,1.5,1.5,100-75%,,Standard,Home,,Hands-on,40-50,30,20,40,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,50-75%,1-2 months,> 12 months,More,70,10,20,0,100,100,0,0,0,100,3-6 hours before deadline,Same,NA,NA,NA,5,NA,,Yes,1,A,> 90%,2-4 weeks,3-6 months,About the same,30,20,50,0,100,30,20,50,0,100,3-6 hours before deadline,Same,4,NA,NA,NA,NA,,2,2,2,6,4,1,3,2,3,1,1,2,3,2,1,3,1,1,3,3,1,2,1,2,3,2,2,5,3,4,2,2,2,4,2,4,3,3,2,4,2,4,3,5,4,2,5,1,4,1,4,5,4,4,5,2,3
Assistant Professor,Female,Psychology,,15,Texas,12,12,Fully funded,No,Standard,Home,,Hands-on,30-40,90,0,10,0,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NIH,,30-50%,> 2 months,6-12 months,More,90,0,10,0,100,90,0,10,0,100,1 day before deadline,Significantly  more,NA,NA,NA,5,NA,,Yes,1,A,75-90%,2-4 weeks,6-12 months,About the same,90,0,10,0,100,90,0,10,,100,1 day before deadline,Same,1,NA,NA,NA,NA,,4,2,4,3,4,3,3,2,3,1,1,2,3,2,3,3,1,2,3,3,1,3,2,2,3,2,2,4,4,3,4,4,2,4,2,5,4,4,4,4,3,4,2,4,2,4,5,2,4,4,2,4,3,3,4,2,2
Assistant Professor,Male,Physics,,17,Texas,Three months,,100-75%,No,Standard,Office,,Hands-on,40-50,40,40,10,10,100,Every hour,,Answer email as it comes,Yes,2,NSF,,< 10%,> 2 months,1-3 months,Significantly more,60,30,10,0,100,80,10,10,0,100,3-6 hours before deadline,Significantly  more,4,NA,NA,NA,NA,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,2,6,2,1,2,3,2,2,2,3,2,4,1,3,2,3,2,1,3,2,4,1,2,3,5,5,5,2,4,2,4,2,5,4,5,4,2,5,5,1,1,2,2,2,2,4,1,2,4,2,4,5,4,5,1
Professor,Male,Psychology,,60,Texas,Three months,,50-25%,No,Standard,Home,,Hands-on,40-50,50,30,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NIH,,30-50%,> 2 months,> 12 months,About the same,60,20,10,10,100,50,30,10,10,100,2 or more days before deadline,Same,2,1,1,1,1,"Most often, proposal deadlines are easily managed with proper planning and ongoing task monitoring. ",Yes,>= 10,A,> 90%,1-2 months,> 12 months,About the same,50,30,10,10,100,50,30,10,10,100,2 or more days before deadline,Same,1,1,1,1,1,,5,1,1,7,3,1,4,2,3,1,1,3,4,1,2,4,2,1,3,4,1,4,2,1,4,2,4,2,1,5,2,4,4,5,2,4,4,5,4,2,1,5,1,5,1,1,5,3,5,1,1,5,1,1,5,1,3
Associate Professor,Female,Psychology,,21,Texas,Three months,,Not funded,No,Standard,Home,,Hands-on,40-50,40,30,10,20,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NIH,,< 10%,> 2 months,6-12 months,Significantly more,80,10,0,10,100,100,0,0,0,100,1 day before deadline,Significantly  more,3,4,4,4,3,"There is a lot of variability in the extent to which I work up to the deadline on proposals. Two of them I have submitted 15 minutes before the deadline. But most of them I submit at least a day before the deadline. I still experience significant stress leading up to submitting, even though it is a day or so ""early."" I think continuous submission (like standing review committee members get) would decrease the amount of stress associated with any particular time of year. Now that proposals are submitted and handled electronically, it seems like there might be less need to have a deadline three months in advance of review. However, people might submit fewer proposals if they did not have an external deadline to keep them accountable.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,1,6,3,1,3,2,3,1,1,2,2,2,2,3,2,2,3,3,1,2,2,2,1,2,2,5,1,2,1,3,3,5,4,5,3,5,2,4,4,4,3,5,2,1,4,4,4,2,4,4,2,4,4,1,2
Professor,Male,Engineering,,30,Texas,Three months,,75-50%,No,Standard,Home,,Hands-on,> 50,20,30,40,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,30-50%,> 2 months,1-3 months,About the same,50,20,20,10,100,20,30,40,10,100,2 or more days before deadline,Same,3,2,2,3,3,,Yes,2,A,75-90%,> 2 months,< 1 month,About the same,20,30,40,10,100,20,30,40,10,100,2 or more days before deadline,Same,2,2,2,2,2,,4,2,4,4,4,2,3,2,4,1,1,2,2,1,2,3,1,1,3,2,1,3,2,1,3,1,4,3,1,3,4,3,3,5,2,3,3,4,3,3,2,4,2,4,1,1,4,3,4,3,2,4,4,2,4,2,2
Associate Professor,Female,Computer Science,,16,Texas,Three months,,Fully funded,No,Standard,Home,,Hands-on,> 50,50,30,10,10,100,Every hour,,Answer email in batches once  or twice per day,Yes,2,NSF,,20-30%,> 2 months,1-3 months,Significantly more,70,10,10,10,100,90,10,,,100,1 day before deadline,Extremely  more,4,5,4,5,4,"Advance thought processes, preparation will help. However, the stress of not having money in the bank to fund the lab is overwhelming... ",Yes,1,A,50-75%,> 2 months,> 12 months,About the same,50,30,10,10,100,30,20,30,20,100,1 day before deadline,Same,2,3,4,5,4,"I gave up on preparing for deadlines and started preparing papers in an ongoing basis. I watch for a deadline when I start to feel that the paper is ready to submit rather than the other way around. But, this is a work in progress... My publication output is suffering for sure. Maybe at some point it will level and balance. This is a very big shift in my habits so I am not sure how well I will succeed. The flip side is that if I don't succeed I will lose my mind with deadlines... And, I have to succeed with this method to publish QUALITY material to my standard instead of the deadline-oriented get-something-together-asap mentality (which I did for many years with my 60+ paper resume).",3,3,3,5,4,5,2,3,2,2,3,2,2,2,3,2,2,3,2,2,3,2,2,3,2,3,4,4,1,2,5,4,1,5,4,4,2,4,5,2,4,4,2,5,4,5,4,5,4,5,2,4,5,4,2,5,2
Associate Professor,Female,Other,HHP,19,Texas,none,none,25-1%,No,Standard,Home,,Hands-off,40-50,70,10,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,USDA,USDA,10-20%,1-2 months,> 12 months,About the same,70,10,10,10,100,70,10,10,10,100,1 day before deadline,Significantly less,4,2,2,3,2,,Yes,1,A,> 90%,2-4 weeks,1-3 months,About the same,70,10,10,10,100,70,10,10,10,100,3-6 hours before deadline,Same,3,1,1,1,1,,4,1,4,4,4,5,4,2,4,3,2,2,2,2,2,4,1,2,3,3,2,3,1,1,3,1,2,5,1,4,1,5,2,5,1,4,4,3,4,4,1,5,3,5,3,4,5,4,5,2,2,5,5,3,4,4,5
Professor,Male,Other,Optometry,46,Texas,Three months,,100-75%,No,Standard,Home,,Hands-off,40-50,50,20,10,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NIH,,20-30%,> 2 months,> 12 months,About the same,60,20,10,10,100,100,0,0,0,100,3-6 hours before deadline,Same,3,1,1,1,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,2,2,7,4,1,3,1,4,1,1,3,4,1,1,4,1,1,4,4,1,4,1,1,4,1,4,5,1,5,2,2,4,5,1,5,3,4,2,2,1,3,2,4,2,1,3,1,3,1,1,3,3,1,4,1,3
