NP,FA,BR,DS,AR,H,EX,AV,Prediction,Lower_Limit,Upper_Limit
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
2,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.27085344,0.10208889,0.5482577
3,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.09793386,0.02548544,0.3106764
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
1,NIH,Every1or2h,1,1,29.56824,5.957816,18.81638,0.44227541,0.16993419,0.7544019
1,DoE,Every1or2h,1,1,29.56824,5.957816,18.81638,0.77745551,0.41462687,0.9451463
1,DoD,Every1or2h,1,1,29.56824,5.957816,18.81638,0.78872828,0.44355488,0.9458999
1,NASA,Every1or2h,1,1,29.56824,5.957816,18.81638,0.50520521,0.08081971,0.9222204
1,Other,Every1or2h,1,1,29.56824,5.957816,18.81638,0.83533374,0.52949315,0.9581018
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
1,NSF,Every3or4h,1,1,29.56824,5.957816,18.81638,0.70622489,0.41641372,0.8900989
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
1,NSF,Every1or2h,2,1,29.56824,5.957816,18.81638,0.37186109,0.16204493,0.6444219
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
1,NSF,Every1or2h,1,2,29.56824,5.957816,18.81638,0.21060911,0.09622479,0.4006826
1,NSF,Every1or2h,1,3,29.56824,5.957816,18.81638,0.16086388,0.06760365,0.3363656
1,NSF,Every1or2h,1,4,29.56824,5.957816,18.81638,0.24223295,0.12086115,0.4263762
1,NSF,Every1or2h,1,5,29.56824,5.957816,18.81638,0.18421737,0.08418291,0.3568096
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
1,NSF,Every1or2h,1,1,8.216594,5.957816,18.81638,0.42084094,0.18240246,0.7029761
1,NSF,Every1or2h,1,1,50.91988,5.957816,18.81638,0.6269662,0.34903612,0.8404696
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
1,NSF,Every1or2h,1,1,29.56824,3.746199,18.81638,0.6524133,0.36343523,0.8605437
1,NSF,Every1or2h,1,1,29.56824,8.169434,18.81638,0.394183,0.17000459,0.6739421
1,NSF,Every1or2h,1,1,29.56824,5.957816,18.81638,0.52496689,0.26502507,0.7720483
1,NSF,Every1or2h,1,1,29.56824,5.957816,13.63931,0.432716,0.20134603,0.6976951
1,NSF,Every1or2h,1,1,29.56824,5.957816,23.99344,0.6155447,0.31787407,0.8461761
