Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
3,24,38,2,8,10,3,8,16,17,26,41,2,2,30,2,2,1,5,2,4,2,70,1,1,2
2,17,35,6,9,7,4,8,25,14,31,25,2,2,30,2,2,1,5,2,5,2,70,1,1,5
1,20,38,8,8,6,5,7,19,22,29,15,2,1,90,1,1,2,4,2,4,2,90,2,2,6
1,16,54,3,7,3,9,6,23,24,16,17,2,2,40,1,2,1,1,2,2,2,60,1,2,5
3,18,28,6,4,10,3,8,13,12,35,60,2,2,50,1,1,2,4,2,5,1,60,2,1,3
2,15,42,7,8,10,8,10,22,16,30,21,2,2,40,2,2,2,1,2,4,2,80,2,2,1
3,20,34,5,6,10,5,5,15,18,28,30,2,2,20,2,1,1,4,2,2,1,50,2,1,4
2,23,56,6,9,10,8,5,18,34,27,16,2,2,50,1,2,1,3,2,2,2,70,2,2,6
2,22,36,9,9,10,3,9,24,24,32,19,1,2,70,2,2,6,2,2,5,1,70,2,1,2
3,19,22,4,7,10,2,9,14,10,24,46,1,2,50,2,1,2,3,2,5,1,60,1,1,5
2,18,35,4,9,10,3,6,15,21,32,8,2,2,20,1,1,1,1,1,1,2,40,1,2,1
3,16,45,2,10,6,4,7,25,17,29,39,1,2,50,1,2,2,2,2,5,2,80,2,1,6
1,24,38,4,7,7,6,9,24,24,32,16,1,2,50,1,2,2,5,2,4,2,70,2,2,4
3,24,34,6,8,9,4,6,24,13,33,46,1,2,30,2,3,2,3,2,5,2,40,2,1,5
3,11,28,6,8,9,3,10,24,12,22,35,1,2,70,1,3,1,2,2,4,2,80,1,2,5
1,27,51,5,8,7,7,8,20,23,28,11,2,2,70,1,2,1,5,1,2,2,90,1,2,5
3,23,37,5,8,9,3,7,15,17,33,24,2,2,30,1,2,1,3,2,5,2,70,1,2,2
3,15,24,10,10,6,3,9,19,10,31,13,1,1,30,1,1,6,7,1,3,1,30,2,1,3
3,21,37,10,8,10,2,3,18,14,29,45,1,2,30,2,2,1,4,2,3,2,80,1,2,3
2,21,33,5,10,10,6,7,30,20,33,22,1,2,50,1,2,1,2,2,4,2,90,2,2,5
1,16,49,5,9,7,9,7,20,16,25,15,1,2,50,2,2,1,4,1,4,1,70,2,1,5
3,20,31,4,9,10,5,10,20,13,30,19,1,2,10,2,1,1,6,2,3,2,50,2,2,1
3,18,26,7,6,10,4,7,24,16,35,43,2,2,70,1,2,4,2,2,5,2,80,1,2,6
3,26,39,7,7,10,6,9,18,22,31,28,2,2,50,1,2,2,4,2,3,2,70,2,2,6
2,34,46,8,7,10,5,10,21,16,31,17,2,2,30,2,3,5,3,1,4,2,60,2,2,4
3,18,20,9,10,8,2,6,19,7,35,21,2,2,50,2,2,1,1,2,3,2,70,1,2,2
3,21,29,9,10,9,3,7,13,10,30,60,1,2,70,2,1,1,4,2,4,1,80,2,1,6
2,25,53,9,7,6,7,8,22,28,23,18,2,2,60,2,3,1,1,2,4,2,90,2,2,3
3,23,26,7,10,10,6,10,20,19,28,13,2,2,40,1,2,1,6,2,1,2,50,1,1,6
2,28,47,4,4,8,7,9,23,19,29,30,1,2,50,2,1,1,1,2,2,2,60,2,2,2
3,13,22,5,10,9,2,6,13,8,32,37,2,2,30,1,1,1,4,2,3,2,30,1,2,3
2,23,47,7,8,8,10,8,27,23,24,6,2,1,30,1,1,1,1,2,2,2,70,1,2,1
3,22,37,8,9,9,6,9,33,14,28,20,1,2,40,1,2,1,1,2,2,2,80,2,2,3
1,28,52,6,6,6,6,6,17,21,23,11,2,2,70,1,2,1,2,2,4,2,70,2,2,6
3,28,44,8,6,10,7,9,23,24,27,26,1,2,50,1,2,1,2,2,5,2,70,2,1,2
3,18,34,5,8,8,5,9,12,14,23,17,2,2,80,2,2,1,5,2,2,1,90,2,1,5
1,26,34,5,6,9,3,10,12,9,32,30,2,2,50,1,3,1,1,2,5,2,80,2,1,4
1,22,62,4,5,5,7,8,17,26,27,10,1,2,30,1,2,1,2,1,1,2,60,1,2,6
1,28,55,7,8,8,5,6,17,22,27,15,2,2,50,2,3,1,1,1,3,2,80,1,2,2
3,26,22,3,8,10,3,3,12,10,35,53,1,2,30,2,2,1,3,2,4,2,60,2,2,6
3,26,41,7,8,7,4,10,20,7,34,28,2,2,40,2,3,3,2,2,3,2,60,2,2,5
3,25,26,2,10,8,2,5,7,7,32,22,2,2,10,2,2,4,3,1,1,2,60,1,2,6
